pc,explained_variance
PC1,0.06793687649160245
PC2,0.05401513434337259
PC3,0.048991544022114704
PC4,0.03376594560600007
PC5,0.03229161648755581
PC6,0.031429620996488536
PC7,0.025169326629585733
PC8,0.02413185309727366
PC9,0.022557969301246306
PC10,0.021056661212007128
PC11,0.019192574024051483
PC12,0.01728804366199185
PC13,0.017055184532872997
PC14,0.01611617081193976
PC15,0.015123860791138139
PC16,0.013857445292547217
PC17,0.01297552860693195
PC18,0.012479153437906185
PC19,0.012326362092752357
PC20,0.011816393548310346
PC21,0.011281976368434183
PC22,0.0109342158398057
PC23,0.010569957285249908
PC24,0.010203009429694146
PC25,0.009825360286445026
PC26,0.009486747752065951
PC27,0.009194932399194767
PC28,0.00881227607318557
PC29,0.008372184639754436
PC30,0.008264108754114208
PC31,0.008024591760925272
PC32,0.007760034066871435
PC33,0.007347519926741628
PC34,0.007205862769132365
PC35,0.006712405745223002
PC36,0.0065823520339309575
PC37,0.006477228622661191
PC38,0.00638941227777651
PC39,0.006361269781271731
PC40,0.0061089843018575
PC41,0.005952817559379782
PC42,0.0056110189927746626
PC43,0.005533580531299677
PC44,0.005431367865369787
PC45,0.00521712328101691
PC46,0.005090794114211915
PC47,0.004974482408100889
PC48,0.004960007430331287
PC49,0.004787284764542496
PC50,0.004601458154745133
PC51,0.004469409424269572
PC52,0.004464224075614264
PC53,0.004364094948636098
PC54,0.004312265726048098
PC55,0.004242965154572567
PC56,0.004108691589001736
PC57,0.004000889142855169
PC58,0.003979531507730574
PC59,0.0038748339060605728
PC60,0.003751256905719152
PC61,0.0037379227110767442
PC62,0.0036159432106712443
PC63,0.003582469238199359
PC64,0.003508388625527807
PC65,0.00346624264252221
PC66,0.0034537770074926184
PC67,0.0033455805790219024
PC68,0.0032773492210646407
PC69,0.0031555895101433623
PC70,0.0030630716261270756
PC71,0.003023709246058575
PC72,0.003001673583621673
PC73,0.0029625673249562843
PC74,0.0029203856990243993
PC75,0.0028139599178222665
PC76,0.002751981161485699
PC77,0.0027332659813016245
PC78,0.002685117216374681
PC79,0.0026465927274448957
PC80,0.002609499919100618
PC81,0.002586119497723774
PC82,0.002530872648155305
PC83,0.002467961446398997
PC84,0.0024146713244397448
PC85,0.002400927101995707
PC86,0.0023528909180238157
PC87,0.002321817132465081
PC88,0.002251877268962597
PC89,0.0022211793458256283
PC90,0.002190400260218247
PC91,0.0021355691395332855
PC92,0.002103952546041245
PC93,0.002057736717113705
PC94,0.0020332792405979225
PC95,0.0020094195973093727
PC96,0.001967279857672457
PC97,0.001950326902167291
PC98,0.001897404159041081
PC99,0.0018691164933537206
PC100,0.0018427230885386468
PC101,0.0018003123929239693
PC102,0.0017591726889078438
PC103,0.001743490885046258
PC104,0.001737038256829877
PC105,0.0016959185855793724
PC106,0.0016868857345101115
PC107,0.0016194191064504537
PC108,0.001611536223744109
PC109,0.0015856623128989238
PC110,0.0015681450302313874
PC111,0.0015247202465909497
PC112,0.0014926527872283289
PC113,0.0014744640849592065
PC114,0.0014681437295224157
PC115,0.0014522702346392048
PC116,0.0014325785286345876
PC117,0.0014068344222880273
PC118,0.001404291411236542
PC119,0.00137910389698141
PC120,0.0013444806806364082
PC121,0.0013430050652193594
PC122,0.001335556415374832
PC123,0.0012973098555051534
PC124,0.0012824325951346464
PC125,0.0012682004787162374
PC126,0.0012522899763531066
PC127,0.0012266738251898448
PC128,0.0011934445253235554
PC129,0.0011730867258297607
PC130,0.0011494156003104146
PC131,0.0011282719739315783
PC132,0.0011054662229554196
PC133,0.0010977099872616681
PC134,0.0010685845472061337
PC135,0.001058672324154637
PC136,0.0010540644969131029
PC137,0.0010382196692881455
PC138,0.001018586805758707
PC139,0.0010060060458525833
PC140,9.894361417473946e-4
PC141,9.798422072891605e-4
PC142,9.739329063159964e-4
PC143,9.556456619647726e-4
PC144,9.435903684825407e-4
PC145,9.219340817812998e-4
PC146,9.026054734199563e-4
PC147,8.883870548745919e-4
PC148,8.669506692127616e-4
PC149,8.626863797750301e-4
PC150,8.602357294808181e-4
PC151,8.494178562527929e-4
PC152,8.308613562341442e-4
PC153,8.197718939430878e-4
PC154,8.121280030323873e-4
PC155,8.025247810049946e-4
PC156,7.88614436245661e-4
PC157,7.775717592400282e-4
PC158,7.750038747380462e-4
PC159,7.607965184710045e-4
PC160,7.576404000731921e-4
PC161,7.42184445310631e-4
PC162,7.268197647376832e-4
PC163,7.251363993837956e-4
PC164,7.03967390782449e-4
PC165,6.8906034895687e-4
PC166,6.852060350270859e-4
PC167,6.632230469115082e-4
PC168,6.553647768633748e-4
PC169,6.477718790763753e-4
PC170,6.400533788048662e-4
PC171,6.331087792647795e-4
PC172,6.217473102455811e-4
PC173,6.154597184662208e-4
PC174,6.139839935457998e-4
PC175,6.000116410437718e-4
PC176,5.933346017930472e-4
PC177,5.824275582034016e-4
PC178,5.748553821022111e-4
PC179,5.730096596012835e-4
PC180,5.620061230786632e-4
PC181,5.517250168271282e-4
PC182,5.380558209036518e-4
PC183,5.367153853767336e-4
PC184,5.286173403859606e-4
PC185,5.238223542379481e-4
PC186,5.171981415756909e-4
PC187,5.065102452234872e-4
PC188,4.990889512358506e-4
PC189,4.975445059161489e-4
PC190,4.910795885317903e-4
PC191,4.7693269318012957e-4
PC192,4.7243398736941726e-4
PC193,4.701772683972996e-4
PC194,4.679636883837709e-4
PC195,4.509251423112693e-4
PC196,4.4845001494543067e-4
PC197,4.4027155714495734e-4
PC198,4.324017127051033e-4
PC199,4.2740657580401403e-4
PC200,4.2316129299859584e-4
PC201,4.164578232376529e-4
PC202,4.122310918990982e-4
PC203,4.1050585498772843e-4
PC204,4.031330199368873e-4
PC205,3.9889698293215053e-4
PC206,3.9639635043560694e-4
PC207,3.778157457177502e-4
PC208,3.7606909069360625e-4
PC209,0.00037403462585892223
PC210,3.602271766213467e-4
PC211,3.5808389042869544e-4
PC212,3.543887901336213e-4
PC213,3.5143171924800954e-4
PC214,3.46630688538928e-4
PC215,3.4488764115893643e-4
PC216,3.415637130194615e-4
PC217,0.00033295673303800793
PC218,3.282172831115384e-4
PC219,3.2560584111799293e-4
PC220,3.2141595599464426e-4
PC221,3.1978260850709043e-4
PC222,3.1026904865477916e-4
PC223,3.0640215400771397e-4
PC224,3.017391926113717e-4
PC225,2.9760344190127893e-4
PC226,2.9570578276351113e-4
PC227,2.933594281996092e-4
PC228,2.874809226623462e-4
PC229,2.855320320787124e-4
PC230,2.816954739113483e-4
PC231,2.781353168770182e-4
PC232,2.773610091167151e-4
PC233,2.676761095847786e-4
PC234,2.660497263653262e-4
PC235,2.6186045111317323e-4
PC236,2.59683684369686e-4
PC237,2.562792100131253e-4
PC238,2.5279313867463126e-4
PC239,2.491231894715463e-4
PC240,2.4840910590370426e-4
PC241,2.430803734282444e-4
PC242,2.3810965608483145e-4
PC243,2.3446458679526614e-4
PC244,2.3361911984859179e-4
PC245,2.3181023725004065e-4
PC246,2.3097181944554417e-4
PC247,2.2608665902933535e-4
PC248,2.227065856855415e-4
PC249,2.1773252431676128e-4
PC250,2.1573470318255405e-4
PC251,2.133336608557929e-4
PC252,2.1254814341086444e-4
PC253,2.1128640950143914e-4
PC254,2.0617992816610235e-4
PC255,2.0219178875663363e-4
PC256,1.9801597153337885e-4
PC257,1.9652613492391772e-4
PC258,1.9568730968918207e-4
PC259,1.9409470504324974e-4
PC260,1.9275758809652192e-4
PC261,1.8922283721064707e-4
PC262,1.865864769529117e-4
PC263,1.852361200766394e-4
PC264,1.8295081731065882e-4
PC265,1.7751808096920862e-4
PC266,1.758208694942909e-4
PC267,1.7437070526344633e-4
PC268,1.7122218221511044e-4
PC269,1.6899541458407984e-4
PC270,1.65620409402402e-4
PC271,1.6501503362396637e-4
PC272,1.6393671532262573e-4
PC273,1.6241965926961242e-4
PC274,1.600666110182978e-4
PC275,1.5736725978582076e-4
PC276,1.5670492724056452e-4
PC277,1.5492444966651737e-4
PC278,1.5279593210725396e-4
PC279,1.4741183410434545e-4
PC280,1.4599052693861593e-4
PC281,1.4347298809022296e-4
PC282,1.4013787831014608e-4
PC283,1.3807441406300927e-4
PC284,1.370787674395122e-4
PC285,1.3586445794909138e-4
PC286,1.354553820209776e-4
PC287,1.340310765023264e-4
PC288,1.320881383515822e-4
PC289,1.314119267670792e-4
PC290,1.2850370356874536e-4
PC291,1.254759000761063e-4
PC292,1.248757683631142e-4
PC293,1.2284091162327455e-4
PC294,1.2092506938385623e-4
PC295,1.1979473548522996e-4
PC296,1.1956666109120221e-4
PC297,1.1707130590615698e-4
PC298,1.1628611670294531e-4
PC299,1.1471179636172764e-4
PC300,1.1456008926824742e-4
PC301,1.1273609934480633e-4
PC302,1.11790071214963e-4
PC303,1.0875984570947422e-4
PC304,1.0596084349991146e-4
PC305,1.0491011997972214e-4
PC306,1.0464655647787344e-4
PC307,1.0342190013490787e-4
PC308,1.0263338470830162e-4
PC309,1.0090911056281793e-4
PC310,9.9742271152266e-5
PC311,9.720208105718594e-5
PC312,9.654400486978878e-5
PC313,9.615762985861426e-5
PC314,9.497306496613759e-5
PC315,9.245571096983709e-5
PC316,9.213713664287737e-5
PC317,9.096426281612867e-5
PC318,8.974075693503398e-5
PC319,8.910274066977812e-5
PC320,8.832370132945272e-5
PC321,8.704203589248125e-5
PC322,8.639515268609418e-5
PC323,8.50816391728416e-5
PC324,8.446435762430468e-5
PC325,8.319248867201716e-5
PC326,8.079717612892724e-5
PC327,8.002509164392453e-5
PC328,7.952812716119308e-5
PC329,7.824941580331982e-5
PC330,7.749928022027236e-5
PC331,7.639602931967052e-5
PC332,7.551699425334459e-5
